Id,Dateofmeasurement,Temperature
1,1/01/1920,-4.4
2,1/02/1920,-4.2
3,2/03/1920,-0.6
4,1/04/1920,1.7
5,2/05/1920,9.1
6,1/06/1920,13.5
7,2/07/1920,12.7
8,1/08/1920,11.4
9,1/09/1920,9.3
10,1/10/1920,5.5
11,1/11/1920,-2.1
12,1/12/1920,-5.2
13,1/01/1921,-0.8
14,1/02/1921,-5.2
15,2/03/1921,0.1
16,2/04/1921,2
17,2/05/1921,9.1
18,2/06/1921,13.7
19,2/07/1921,21.3
20,1/08/1921,14.9
21,1/09/1921,12
22,1/10/1921,9.2
23,1/11/1921,-5.3
24,1/12/1921,-2.2
25,1/01/1922,-7.5
26,1/02/1922,-6.3
27,2/03/1922,-5.5
28,2/04/1922,-2.9
29,2/05/1922,10.7
30,2/06/1922,12.8
31,2/07/1922,11.8
32,1/08/1922,9.3
33,1/09/1922,9.3
34,1/10/1922,2.1
35,1/11/1922,-3.2
36,1/12/1922,-3.3
37,1/01/1923,-3.2
38,1/02/1923,-4.9
39,2/03/1923,-2.1
40,2/04/1923,0.8
41,2/05/1923,4.2
42,2/06/1923,7.7
43,2/07/1923,19.2
44,1/08/1923,14.6
45,1/09/1923,9.4
46,1/10/1923,4.2
47,1/11/1923,-8.7
48,1/12/1923,-7.4
49,1/01/1924,-5.7
50,1/02/1924,-7.5
51,2/03/1924,-6.7
52,1/04/1924,0.5
53,2/05/1924,8.2
54,1/06/1924,12.7
55,2/07/1924,15.8
56,1/08/1924,13.2
57,1/09/1924,11.4
58,1/10/1924,4.8
59,1/11/1924,-0.6
60,1/12/1924,-1.4
61,1/01/1925,-5
62,1/02/1925,-4.5
63,2/03/1925,-4.2
64,2/04/1925,0.1
65,2/05/1925,8.8
66,2/06/1925,14.4
67,2/07/1925,18.5
68,1/08/1925,16
69,1/09/1925,8
70,1/10/1925,5
71,1/11/1925,-6.9
72,1/12/1925,-8.7
73,1/01/1926,-5.8
74,1/02/1926,-1.6
75,2/03/1926,-1.6
76,2/04/1926,3.9
77,2/05/1926,5.6
78,2/06/1926,11.8
79,2/07/1926,17.5
80,1/08/1926,17
81,1/09/1926,12.5
82,1/10/1926,1.7
83,1/11/1926,-3.4
84,1/12/1926,-5.2
85,1/01/1927,-5.6
86,1/02/1927,-6.5
87,2/03/1927,0.3
88,2/04/1927,2.1
89,2/05/1927,6.7
90,2/06/1927,10
91,2/07/1927,15.4
92,1/08/1927,15.5
93,1/09/1927,9.7
94,1/10/1927,5.3
95,1/11/1927,-2.7
96,1/12/1927,-9.8
97,1/01/1928,-4.2
98,1/02/1928,-3.9
99,2/03/1928,-2.2
100,1/04/1928,2.3
101,2/05/1928,5.9
102,1/06/1928,11.4
103,2/07/1928,17.2
104,1/08/1928,15.5
105,1/09/1928,10.4
106,1/10/1928,5.2
107,1/11/1928,-2
108,1/12/1928,-7.7
109,1/01/1929,-10.2
110,1/02/1929,-13.7
111,2/03/1929,-4
112,2/04/1929,-1.1
113,2/05/1929,8.1
114,2/06/1929,11.9
115,2/07/1929,17.5
116,1/08/1929,15.3
117,1/09/1929,14.8
118,1/10/1929,4.2
119,1/11/1929,-2.1
120,1/12/1929,-3.1
121,1/01/1930,-3.4
122,1/02/1930,-7.9
123,2/03/1930,-3.8
124,2/04/1930,1.9
125,2/05/1930,6.2
126,2/06/1930,15.4
127,2/07/1930,15.1
128,1/08/1930,16.6
129,1/09/1930,12
130,1/10/1930,5.9
131,1/11/1930,-2
132,1/12/1930,-6.2
133,1/01/1931,-7.9
134,1/02/1931,-6.6
135,2/03/1931,-6.6
136,2/04/1931,1.5
137,2/05/1931,8.5
138,2/06/1931,13.4
139,2/07/1931,15.6
140,1/08/1931,13.2
141,1/09/1931,8.8
142,1/10/1931,1.6
143,1/11/1931,0.5
144,1/12/1931,-4.4
145,1/01/1932,-2.6
146,1/02/1932,-6.6
147,2/03/1932,-4.7
148,1/04/1932,-0.4
149,2/05/1932,5.9
150,1/06/1932,12
151,2/07/1932,17.1
152,1/08/1932,18.5
153,1/09/1932,11.3
154,1/10/1932,2.3
155,1/11/1932,-1.4
156,1/12/1932,-3.2
157,1/01/1933,-8.8
158,1/02/1933,-5.7
159,2/03/1933,-0.5
160,2/04/1933,3.7
161,2/05/1933,9.2
162,2/06/1933,15.8
163,2/07/1933,20.5
164,1/08/1933,19.9
165,1/09/1933,15.1
166,1/10/1933,5.2
167,1/11/1933,-2.9
168,1/12/1933,-9.2
169,1/01/1934,-5.6
170,1/02/1934,-6.8
171,2/03/1934,-4.6
172,2/04/1934,1.9
173,2/05/1934,8.4
174,2/06/1934,14.6
175,2/07/1934,21.5
176,1/08/1934,15.4
177,1/09/1934,14.2
178,1/10/1934,6.2
179,1/11/1934,-2.2
180,1/12/1934,0.8
181,1/01/1935,-5
182,1/02/1935,-2.4
183,2/03/1935,-1.5
184,2/04/1935,2.1
185,2/05/1935,5
186,2/06/1935,15.5
187,2/07/1935,19.6
188,1/08/1935,19
189,1/09/1935,11.8
190,1/10/1935,3.6
191,1/11/1935,-0.8
192,1/12/1935,-8.6
193,1/01/1936,-7.7
194,1/02/1936,-10
195,2/03/1936,-1
196,1/04/1936,-1.1
197,2/05/1936,7.7
198,1/06/1936,13.6
199,2/07/1936,15
200,1/08/1936,16.1
201,1/09/1936,13.1
202,1/10/1936,4.6
203,1/11/1936,-3.4
204,1/12/1936,-3.7
205,1/01/1937,-4.2
206,1/02/1937,-4
207,2/03/1937,-6.6
208,2/04/1937,2.4
209,2/05/1937,9.1
210,2/06/1937,13.6
211,2/07/1937,16.4
212,1/08/1937,16.8
213,1/09/1937,11.3
214,1/10/1937,5.9
215,1/11/1937,-3.6
216,1/12/1937,-7.9
217,1/01/1938,-2.9
218,1/02/1938,-3.8
219,2/03/1938,2.3
220,2/04/1938,1.6
221,2/05/1938,7.4
222,2/06/1938,14
223,2/07/1938,14.6
224,1/08/1938,15.4
225,1/09/1938,12
226,1/10/1938,5.7
227,1/11/1938,2.8
228,1/12/1938,-5.8
229,1/01/1939,-5.6
230,1/02/1939,-4.1
231,2/03/1939,-2.6
232,2/04/1939,2.8
233,2/05/1939,7.4
234,2/06/1939,13
235,2/07/1939,15.7
236,1/08/1939,16.8
237,1/09/1939,13.2
238,1/10/1939,1.7
239,1/11/1939,1.6
240,1/12/1939,-7.2
